Brand,Year,Model,UsedOrNew,Transmission,EngineSize,DriveType,FuelType,FuelConsumptionPer100km,Kilometres,ExteriorColour,CylindersinEngine,BodyType,Seats,Price,City,State
Audi,2014,Q5,USED,Automatic,3.0,AWD,Diesel,6.4,151454,Blue,6,SUV,5,23987,Edwardstown,SA
Toyota,2016,Camry,USED,Automatic,2.5,Front,Unleaded,7.9,116005,Gold,4,Sedan,5,20888,Bibra Lake,WA
Kia,2019,Picanto,USED,Automatic,1.2,Front,Unleaded,5.8,58762,White,4,Hatchback,5,20999,Victoria Park,WA
Ford,2006,Territory,USED,Automatic,4.0,AWD,Unleaded,14.2,237805,Blue,6,SUV,5,14990,Somerton Park,SA
Kia,2019,Cerato,USED,Automatic,2.0,Front,Unleaded,7.4,154623,White,4,Hatchback,5,18990,Bentley,WA
Ford,2018,Ranger,USED,Automatic,3.2,4WD,Diesel,8.9,80630,Orange,5,Ute / Tray,5,53990,Maddington,WA
Suzuki,2020,Jimny,USED,Automatic,1.5,4WD,Unleaded,6.9,30273,Brown,4,SUV,4,43928,Bentley,WA
Nissan,2021,Qashqai,USED,Automatic,2.0,Front,Unleaded,6.9,34426,White,4,SUV,5,30990,Osborne Park,WA
Toyota,2005,Landcruiser,USED,Manual,4.2,4WD,Diesel,11.2,251045,White,6,SUV,8,39970,Edwardstown,SA
Toyota,2019,Landcruiser,USED,Automatic,2.8,4WD,Diesel,8.0,75987,White,4,SUV,7,69990,Midland,WA
Renault,2019,Koleos,USED,Automatic,2.0,4WD,Diesel,5.6,87000,Silver,4,SUV,5,31999,Maddington,WA
Mercedes-Benz,2009,E350,USED,Automatic,3.5,Rear,Premium,9.4,192472,Gold,6,Sedan,5,15880,Somerton Park,SA
BMW,2018,420I,USED,Automatic,2.0,Rear,Premium,6.1,37350,Blue,4,Hatchback,5,44990,Burswood,WA
Nissan,2019,X-Trail,USED,Automatic,2.0,4WD,Diesel,6.0,91859,-,4,SUV,5,28990,Osborne Park,WA
Toyota,2017,Landcruiser,USED,Automatic,2.8,4WD,Diesel,8.0,120885,White,4,SUV,7,45984,Bentley,WA
Volkswagen,2018,Tiguan,USED,Automatic,2.0,AWD,Diesel,5.9,70250,White,4,SUV,5,33930,Mile End South,SA
Toyota,2012,Yaris,USED,Automatic,1.5,Front,Unleaded,6.3,148865,Blue,4,Hatchback,5,14698,Morley,WA
Hyundai,2019,I30,USED,Automatic,1.6,Front,Unleaded,7.1,49655,White,4,Hatchback,5,30968,Bentley,WA
Toyota,2022,RAV4,USED,Automatic,2.5,Front,Hybrid,4.7,14921,White,4,SUV,5,60999,Reynella,SA
Ford,2017,Mustang,USED,Manual,5.0,Rear,Premium,13.1,60212,White,8,Coupe,4,48999,Reynella,SA
Subaru,2021,Forester,USED,Automatic,2.5,AWD,Unleaded,7.4,52378,Blue,4,SUV,5,35980,Bentley,WA
Toyota,2012,Landcruiser,USED,Automatic,4.5,4WD,Diesel,10.3,279553,Blue,8,SUV,8,51950,Morley,WA
Toyota,2020,Hilux,USED,Automatic,2.8,Rear,Diesel,7.5,50500,White,4,Ute / Tray,5,53997,Emerald,QLD
LDV,2021,D90,USED,Automatic,2.0,4WD,Unleaded,10.9,49874,Blue,4,SUV,7,33950,Morley,WA
Toyota,2020,Hilux,USED,Automatic,2.8,4WD,Diesel,7.9,63981,Grey,4,Ute / Tray,5,55977,Cannington,WA
Ford,2015,Ranger,USED,Automatic,3.2,4WD,Diesel,9.0,184804,White,5,Ute / Tray,5,38947,Bentley,WA
Renault,2022,Arkana,DEMO,Automatic,1.3,Front,Unleaded,6.0,1797,White,4,SUV,5,36990,Morphett Vale,SA
Honda,2022,CR-V,USED,Automatic,1.5,Front,Unleaded,7.3,12305,Blue,4,SUV,7,42990,Osborne Park,WA
Lexus,2014,GS250,USED,Automatic,2.5,Rear,Premium,9.3,68429,White,6,Sedan,5,35880,Port Augusta,SA
Mazda,2017,CX-5,USED,Automatic,2.0,Front,Unleaded,6.4,119335,White,4,SUV,5,29990,Mackay,QLD
Toyota,2019,Landcruiser,USED,Automatic,2.8,4WD,Diesel,8.0,90619,White,4,SUV,5,50980,Bentley,WA
Toyota,2018,Landcruiser,USED,Automatic,4.5,4WD,Diesel,9.5,135018,White,8,SUV,7,109990,Mackay,QLD
Lexus,2018,LX450D,USED,Automatic,4.5,AWD,Diesel,9.5,97937,Silver,8,SUV,5,106990,Mackay,QLD
Toyota,2004,Landcruiser,USED,Manual,4.2,4WD,Diesel,0.0,308080,White,6,SUV,6,27990,Osborne Park,WA
