,Brand,Year,Model,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption/100km,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,Extcolour,City,State
0,Ssangyong,2022-01-01,Rexton,DEMO,Automatic,2.2,AWD,Diesel,8.7,5595.0,4,SUV,4,7,51990.0,White ,Caringbah, NSW
1,MG,2022-01-01,MG3,USED,Automatic,1.5,Front,Premium,6.7,16.0,4,Hatchback,5,5,19990.0,Black ,Brookvale, NSW
2,BMW,2022-01-01,430I,USED,Automatic,2.0,Rear,Premium,6.6,8472.0,4,Coupe,2,4,108988.0,Grey ,Sylvania, NSW
3,Mercedes-Benz,2011-01-01,E500,USED,Automatic,5.5,Rear,Premium,7.3,136517.0,8,Coupe,2,4,32990.0,White ,Mount Druitt, NSW
4,Renault,2022-01-01,Arkana,USED,Automatic,1.3,Front,Unleaded,6.0,1035.0,4,SUV,4,5,34990.0,Grey ,Castle Hill, NSW
6,Land,2017-01-01,Rover,USED,Automatic,2.0,AWD,Diesel,5.1,67662.0,4,SUV,2,4,62280.0,White ,Blacktown, NSW
7,Nissan,2000-01-01,Pulsar,USED,Automatic,1.6,Front,Unleaded,8.0,300539.0,4,Hatchback,5,5,2995.0,Red ,Wentworthville, NSW
8,Toyota,2013-01-01,86,USED,Automatic,2.0,Rear,Premium,7.1,82012.0,4,Coupe,2,4,24888.0,Black ,Mcgraths Hill, NSW
9,Honda,2014-01-01,Jazz,USED,Automatic,1.3,Front,Hybrid,4.5,38229.0,4,Hatchback,5,5,17900.0,Blue ,Lidcombe, NSW
11,Toyota,2018-01-01,HiAce,USED,Automatic,2.7,Rear,Unleaded,9.8,16324.0,4,Commercial,4,2,41999.0,White ,Lidcombe, NSW
14,Toyota,2016-01-01,HiAce,USED,Automatic,3.0,Rear,Diesel,8.0,229829.0,4,Commercial,4,2,27995.0,White ,Lidcombe, NSW
15,Volkswagen,2012-01-01,Golf,USED,Automatic,1.4,Front,Premium,6.2,55676.0,4,Hatchback,5,5,14999.0,White ,Five Dock, NSW
16,BMW,2014-01-01,X3,USED,Automatic,2.0,4WD,Diesel,5.6,82624.0,4,SUV,4,5,24985.0,Black ,Haberfield, NSW
18,BMW,2011-01-01,118D,USED,Automatic,2.0,Rear,Diesel,5.4,95204.0,4,Hatchback,5,5,13999.0,Silver ,Five Dock, NSW
19,Ford,2014-01-01,Fiesta,USED,Automatic,1.0,Front,Unleaded,5.4,76289.0,3,Hatchback,5,5,12400.0,White ,Cabramatta, NSW
20,Mitsubishi,2012-01-01,Outlander,USED,Automatic,2.4,AWD,Unleaded,7.5,219681.0,4,SUV,4,7,13999.0,Black ,Blacktown, NSW
21,Ford,2013-01-01,Fiesta,USED,Automatic,1.6,Front,Unleaded,6.1,98079.0,4,Hatchback,5,5,11999.0,Blue ,Blacktown, NSW
22,Volkswagen,2023-01-01,Amarok,NEW,Automatic,3.0,AWD,Diesel,8.4,15.0,6,Ute / Tray,4,5,83887.0,White ,Blacktown, NSW
23,Honda,2018-01-01,Jazz,USED,Automatic,1.5,Front,Unleaded,5.8,43274.0,4,Hatchback,5,5,19900.0,Silver ,Castle Hill, NSW
24,Subaru,2012-01-01,Outback,USED,Automatic,2.5,AWD,Premium,8.4,105672.0,4,SUV,4,5,17990.0,Black ,Glebe, NSW
25,Mitsubishi,2018-01-01,Mirage,USED,Automatic,1.2,Front,Unleaded,4.7,36836.0,3,Hatchback,5,5,14995.0,Black ,Camden, NSW
26,Toyota,2005-01-01,Camry,USED,Automatic,2.4,Front,Unleaded,9.8,115821.0,4,Sedan,4,5,8499.0,Silver ,Lansvale, NSW
28,Hyundai,2011-01-01,I45,USED,Automatic,2.4,Front,Unleaded,7.9,189711.0,4,Sedan,4,5,12990.0,Silver ,Croydon, NSW
29,Ford,2015-01-01,Territory,USED,Automatic,2.7,Rear,Diesel,8.2,173786.0,6,SUV,4,7,16999.0,Blue ,Blacktown, NSW
30,Nissan,2018-01-01,Qashqai,USED,Automatic,2.0,Front,Unleaded,6.9,114301.0,4,SUV,4,5,21950.0,Blue ,Pendle Hill, NSW
31,Volkswagen,2013-01-01,Golf,USED,Manual,2.0,Front,Premium,6.6,69197.0,4,Hatchback,5,5,24880.0,Black ,Blacktown, NSW
33,Hyundai,2015-01-01,Tucson,USED,Automatic,2.0,Front,Unleaded,7.9,94377.0,4,SUV,4,5,23888.0,Grey ,Mcgraths Hill, NSW
34,Ford,2016-01-01,Focus,USED,Automatic,1.5,Front,Unleaded,6.2,94965.0,4,Hatchback,5,5,16999.0,White ,Blacktown, NSW
35,Nissan,2019-01-01,X-Trail,USED,Automatic,2.5,Front,Unleaded,8.1,99294.0,4,SUV,4,7,24490.0,Grey ,Blacktown, NSW
36,Toyota,2021-01-01,Corolla,USED,Automatic,1.8,Front,Hybrid,4.2,13694.0,4,Hatchback,5,5,44878.0,Black ,Blacktown, NSW
37,Toyota,2007-01-01,Yaris,USED,Automatic,1.5,Front,Unleaded,6.7,264691.0,4,Sedan,4,5,7949.0,Silver ,Lansvale, NSW
39,Toyota,2010-01-01,Corolla,USED,Manual,1.8,Front,Unleaded,7.7,238270.0,4,Hatchback,5,5,8800.0,Grey ,Smithfield, NSW
41,Jeep,2015-01-01,Patriot,USED,Automatic,2.4,4WD,Unleaded,9.1,140964.0,4,SUV,4,5,13990.0,Black ,Seven Hills, NSW
42,Toyota,2003-01-01,HiAce,USED,Automatic,2.4,Rear,Unleaded,7.3,266848.0,4,Commercial,4,3,9999.0,White ,Five Dock, NSW
43,Volvo,2013-01-01,S60,USED,Automatic,1.6,Front,Premium,7.4,141000.0,4,Sedan,4,5,14999.0,Blue ,Blacktown, NSW
44,Mitsubishi,2016-01-01,Triton,USED,Automatic,2.4,4WD,Diesel,7.6,240402.0,4,Ute / Tray,4,5,22750.0,White ,Haberfield, NSW
45,Mercedes-Benz,2010-01-01,E250,USED,Automatic,1.8,Rear,Premium,7.9,101126.0,4,Coupe,2,4,21950.0,Black ,Glebe, NSW
46,Mercedes-Benz,2013-01-01,A250,USED,Automatic,2.0,Front,Premium,6.6,117254.0,4,Hatchback,5,5,19999.0,White ,Five Dock, NSW
47,Toyota,2012-01-01,86,USED,Manual,2.0,Rear,Premium,7.8,178747.0,4,Coupe,2,4,19900.0,Silver ,Granville, NSW
48,Mazda,2022-01-01,CX-5,USED,Automatic,2.5,AWD,Unleaded,7.5,10579.0,4,SUV,4,5,37990.0,Black ,Five Dock, NSW
49,Toyota,2010-01-01,Corolla,USED,Automatic,1.8,Front,Unleaded,7.7,167101.0,4,Hatchback,5,5,12990.0,Red ,Minchinbury, NSW
50,Ford,2013-01-01,Falcon,USED,Automatic,4.0,Rear,Unleaded,9.9,163161.0,6,Sedan,4,5,16999.0,Blue ,Blacktown, NSW
51,Abarth,2021-01-01,595,USED,Manual,1.4,Front,Premium,6.0,13200.0,4,Hatchback,3,4,36990.0,Black ,Ryde, NSW
52,Honda,2014-01-01,CR-V,USED,Automatic,2.4,4WD,Unleaded,8.7,103211.0,4,SUV,4,5,23880.0,White ,Blacktown, NSW
53,Toyota,2007-01-01,Corolla,USED,Automatic,1.8,Front,Unleaded,7.4,177751.0,4,Sedan,4,5,10990.0,Silver ,Minchinbury, NSW
54,Toyota,2016-01-01,HiAce,USED,Automatic,2.7,Rear,Unleaded,0.9,119614.0,4,People Mover,3,14,44900.0,Silver ,Ingleburn, NSW
55,Hyundai,2012-01-01,I30,USED,Automatic,1.8,Front,Unleaded,6.9,125546.0,4,Hatchback,5,5,15880.0,Black ,Blacktown, NSW
56,Mazda,2013-01-01,6,USED,Automatic,2.5,Front,Unleaded,6.6,163000.0,4,Sedan,4,5,16995.0,Grey ,Minchinbury, NSW
57,Toyota,2008-01-01,Kluger,USED,Automatic,3.5,Front,Unleaded,7.3,132864.0,6,SUV,4,7,19880.0,Blue ,Blacktown, NSW
58,Hyundai,2018-01-01,Santa,USED,Automatic,2.2,AWD,Diesel,7.8,71655.0,4,SUV,4,7,43999.0,White ,Homebush, NSW
59,BMW,2012-01-01,X3,USED,Automatic,2.0,4WD,Diesel,5.6,109459.0,4,SUV,4,5,18888.0,Black ,Blacktown, NSW
60,Holden,2016-01-01,Cascada,USED,Automatic,1.6,Front,Premium,7.5,65361.0,4,Convertible,2,4,24995.0,Silver ,Minchinbury, NSW
61,Mercedes-Benz,2006-01-01,ML320,USED,Automatic,3.0,4WD,Diesel,9.6,212953.0,6,SUV,4,5,9998.0,Silver ,Five Dock, NSW
62,Mitsubishi,2009-01-01,Lancer,USED,Automatic,2.0,Front,Unleaded,8.2,163012.0,4,Sedan,4,5,9990.0,Red ,Minchinbury, NSW
63,Audi,2014-01-01,A5,USED,Automatic,2.0,AWD,Premium,6.7,82119.0,4,Coupe,2,4,27380.0,White ,Blacktown, NSW
64,Kia,2018-01-01,RIO,USED,Automatic,1.0,Front,Unleaded,5.4,42071.0,3,Hatchback,5,5,24999.0,Red ,Homebush, NSW
65,Jeep,2015-01-01,Cherokee,USED,Automatic,3.2,4WD,Unleaded,7.3,85958.0,6,SUV,4,5,17999.0,Red ,Elderslie, NSW
66,Volkswagen,2011-01-01,Tiguan,USED,Automatic,2.0,AWD,Premium,8.8,118642.0,4,SUV,4,5,12990.0,Black ,Lidcombe, NSW
67,Mitsubishi,2012-01-01,ASX,USED,Automatic,2.0,Front,Unleaded,7.9,187265.0,4,SUV,4,5,13990.0,Blue ,Campbelltown, NSW
68,BMW,2016-01-01,220I,USED,Automatic,2.0,Rear,Premium,6.4,118120.0,4,Convertible,2,4,28990.0,Grey ,Caringbah, NSW
69,Hyundai,2022-01-01,Tucson,USED,Automatic,2.0,Front,Unleaded,8.1,19978.0,4,SUV,4,5,36800.0,White ,Smithfield, NSW
70,Mazda,2011-01-01,3,USED,Automatic,2.0,Front,Unleaded,8.2,86804.0,4,Sedan,4,5,13999.0,Grey ,Lansvale, NSW
71,Volkswagen,2023-01-01,Tiguan,NEW,Automatic,2.0,AWD,Premium,8.9,15.0,4,SUV,4,7,56887.0,Black ,Blacktown, NSW
72,Hyundai,2014-01-01,Imax,USED,Automatic,2.5,Rear,Diesel,9.0,183550.0,4,Wagon,4,8,19888.0,White ,Bankstown, NSW
73,Toyota,2014-01-01,Yaris,USED,Automatic,1.3,Front,Unleaded,6.3,191748.0,4,Hatchback,5,5,8995.0,Green ,Bankstown, NSW
74,Toyota,2016-01-01,Kluger,USED,Automatic,3.5,Front,Unleaded,0.4,139637.0,6,SUV,4,7,31900.0,Grey ,Five Dock, NSW
75,Mitsubishi,2013-01-01,Lancer,USED,Automatic,2.0,Front,Unleaded,7.2,165306.0,4,Sedan,4,5,14995.0,Grey ,Minchinbury, NSW
76,Subaru,2016-01-01,XV,USED,Automatic,2.0,AWD,Unleaded,7.1,104887.0,4,SUV,4,5,22990.0,Grey ,North Narrabeen, NSW
77,Mini,2017-01-01,Cooper,USED,Automatic,2.0,Front,Premium,5.5,72501.0,4,Hatchback,5,5,31990.0,Yellow ,Blacktown, NSW
79,Holden,2010-01-01,Commodore,USED,Manual,6.0,Rear,Unleaded,4.5,169220.0,8,Ute / Tray,2,2,25999.0,Black ,Blacktown, NSW
80,Hyundai,2015-01-01,I20,USED,Automatic,1.4,Front,Unleaded,5.9,111783.0,4,Hatchback,5,5,13990.0,Silver ,Croydon, NSW
81,Mazda,2018-01-01,BT-50,USED,Automatic,3.2,Rear,Diesel,9.3,97460.0,5,Ute / Tray,4,5,30990.0,White ,Haberfield, NSW
82,Mazda,2009-01-01,3,USED,Automatic,2.0,Front,Unleaded,8.2,178389.0,4,Sedan,4,5,8499.0,Black ,Chester Hill, NSW
83,Hyundai,2011-01-01,I20,USED,Automatic,1.4,Front,Unleaded,6.4,188262.0,4,Hatchback,5,5,10995.0,Blue ,Minchinbury, NSW
85,Mazda,2010-01-01,CX-7,USED,Automatic,2.3,AWD,Unleaded,0.5,152831.0,4,SUV,4,5,11669.0,Black ,Liverpool, NSW
86,Jeep,2017-01-01,Renegade,USED,Automatic,1.4,Front,Premium,5.9,69218.0,4,SUV,4,5,24950.0,Grey ,Glebe, NSW
87,Mazda,2013-01-01,6,USED,Automatic,2.5,Front,Unleaded,6.6,124093.0,4,Sedan,4,5,16990.0,White ,West Ryde, NSW
89,Kia,2013-01-01,Grand,USED,Automatic,3.5,Front,Unleaded,0.9,98672.0,6,Wagon,4,8,13995.0,White ,Minchinbury, NSW
90,Mitsubishi,2015-01-01,Lancer,USED,Automatic,2.0,Front,Unleaded,7.2,61481.0,4,Sedan,4,5,17995.0,Grey ,Minchinbury, NSW
91,Subaru,2018-01-01,Impreza,USED,Automatic,2.0,AWD,Unleaded,6.6,61177.0,4,Hatchback,5,5,22990.0,Grey ,Seven Hills, NSW
92,Mazda,2014-01-01,3,USED,Automatic,2.0,Front,Unleaded,8.2,132648.0,4,Hatchback,5,5,16999.0,Red ,Granville, NSW
93,BMW,2021-01-01,X4,USED,Automatic,2.0,AWD,Unleaded,7.3,31367.0,4,SUV,5,5,79988.0,Grey ,Sylvania, NSW
94,Mazda,2010-01-01,CX-7,USED,Automatic,2.3,AWD,Unleaded,0.5,174818.0,4,SUV,4,5,12800.0,Red ,Kirrawee, NSW
95,Audi,2015-01-01,A5,USED,Automatic,2.0,AWD,Premium,6.7,115334.0,4,Coupe,2,4,26880.0,Grey ,Blacktown, NSW
96,BMW,2014-01-01,118I,USED,Automatic,1.6,Rear,Premium,5.8,57000.0,4,Hatchback,5,5,16990.0,White ,Cabramatta, NSW
100,Audi,2014-01-01,Q7,USED,Automatic,4.1,AWD,Diesel,9.2,199941.0,8,SUV,4,7,28999.0,Black ,Five Dock, NSW
101,Suzuki,2015-01-01,Celerio,USED,Automatic,1.0,Front,Unleaded,4.8,23316.0,3,Hatchback,5,4,13880.0,Blue ,Blacktown, NSW
102,Subaru,2016-01-01,Liberty,USED,Automatic,3.6,AWD,Premium,9.9,226127.0,6,Sedan,4,5,17950.0,White ,Minto, NSW
103,Toyota,2019-01-01,C-HR,USED,Manual,1.2,Front,Premium,5.4,58185.0,4,SUV,4,5,33888.0,Yellow ,Blacktown, NSW
104,Subaru,2021-01-01,Forester,USED,Automatic,2.5,AWD,Unleaded,7.4,16136.0,4,SUV,4,5,39990.0,Silver ,Windsor, NSW
105,Mazda,2015-01-01,CX-3,USED,Automatic,2.0,AWD,Unleaded,6.7,31531.0,4,SUV,4,5,23950.0,White ,Penrith, NSW
106,Jeep,2018-01-01,Grand,USED,Automatic,3.0,4WD,Diesel,7.5,76472.0,6,SUV,4,5,41950.0,White ,Glebe, NSW
107,Hyundai,2018-01-01,I30,USED,Automatic,2.0,Front,Unleaded,7.4,62719.0,4,Hatchback,4,5,21999.0,Silver ,Homebush, NSW
108,Nissan,2020-01-01,X-Trail,USED,Automatic,2.5,Front,Unleaded,7.9,52035.0,4,SUV,4,5,27990.0,Grey ,Windsor, NSW
109,Honda,2010-01-01,City,USED,Automatic,1.5,Front,Unleaded,6.6,146445.0,4,Sedan,4,5,8950.0,Black ,Kogarah, NSW
110,Honda,2020-01-01,CR-V,USED,Automatic,1.5,Front,Unleaded,7.3,35214.0,4,SUV,4,7,37880.0,Grey ,Blacktown, NSW
111,Holden,2014-01-01,Cruze,USED,Manual,1.6,Front,Unleaded,7.4,163000.0,4,Hatchback,5,5,7950.0,Red ,South Windsor, NSW
112,Jeep,2013-01-01,Grand,USED,Automatic,3.6,Rear,Premium,0.1,69001.0,6,SUV,4,5,24990.0,Grey ,Artarmon, NSW
113,Toyota,2007-01-01,RAV4,USED,Automatic,2.4,4WD,Unleaded,9.6,106718.0,4,SUV,4,5,14999.0,Silver ,Lansvale, NSW
114,Holden,2016-01-01,Commodore,USED,Automatic,3.0,Rear,Unleaded,8.3,59689.0,6,Sedan,4,5,22999.0,Red ,Blacktown, NSW
115,Mercedes-Benz,2010-01-01,CLC200,USED,Automatic,1.8,Rear,Premium,9.0,177834.0,4,Coupe,2,4,7999.0,Silver ,Five Dock, NSW
117,Mazda,2013-01-01,6,USED,Automatic,2.5,Front,Unleaded,6.6,105767.0,4,Sedan,4,5,19999.0,White ,Homebush, NSW
118,Volkswagen,2018-01-01,Caddy,USED,Automatic,1.4,Front,Premium,6.0,87293.0,4,Commercial,3,2,30999.0,White ,Blacktown, NSW
119,Honda,2013-01-01,Civic,USED,Automatic,1.8,Front,Unleaded,6.7,154347.0,4,Sedan,4,5,15990.0,Silver ,Minchinbury, NSW
120,Jeep,2021-01-01,Compass,USED,Automatic,2.4,Front,Unleaded,7.9,20827.0,4,SUV,4,5,32888.0,White ,Ryde, NSW
123,Toyota,2010-01-01,Yaris,USED,Automatic,1.3,Front,Unleaded,6.5,147626.0,4,Hatchback,5,5,10995.0,White ,Minchinbury, NSW
124,Jeep,2014-01-01,Grand,USED,Automatic,3.0,4WD,Diesel,7.5,114424.0,6,SUV,4,5,29990.0,Grey ,Castle Hill, NSW
125,Mazda,2009-01-01,3,USED,Manual,2.5,Front,Unleaded,8.6,153020.0,4,Hatchback,5,5,13950.0,Red ,Liverpool, NSW
126,Ford,2016-01-01,Ranger,USED,Automatic,3.2,4WD,Diesel,9.0,98700.0,5,Ute / Tray,4,5,36999.0,Blue ,Five Dock, NSW
128,Toyota,2013-01-01,86,USED,Automatic,2.0,Rear,Premium,7.1,103706.0,4,Coupe,2,4,24990.0,Orange ,Croydon, NSW
129,Volkswagen,2013-01-01,Golf,USED,Automatic,1.4,Front,Premium,5.2,126532.0,4,Hatchback,5,5,13990.0,Gold ,Cabramatta, NSW
130,Mitsubishi,2013-01-01,Lancer,USED,Automatic,2.0,Front,Unleaded,7.3,73421.0,4,Hatchback,5,5,16990.0,Grey ,Brookvale, NSW
131,Toyota,2009-01-01,Camry,USED,Automatic,2.4,Front,Unleaded,9.9,155135.0,4,Sedan,4,5,10995.0,White ,Minchinbury, NSW
132,Hyundai,2013-01-01,I20,USED,Automatic,1.4,Front,Unleaded,6.4,123330.0,4,Hatchback,5,5,12990.0,Grey ,Brookvale, NSW
133,Mitsubishi,2014-01-01,Lancer,USED,Automatic,2.4,Front,Unleaded,8.9,44249.0,4,Hatchback,5,5,18990.0,Silver ,Arncliffe, NSW
134,Mazda,2018-01-01,2,USED,Automatic,1.5,Front,Unleaded,4.9,27100.0,4,Hatchback,5,5,23999.0,Silver ,Darlinghurst, NSW
135,Mazda,2009-01-01,3,USED,Automatic,2.0,Front,Unleaded,8.2,70661.0,4,Hatchback,5,5,14995.0,White ,Minchinbury, NSW
136,Mitsubishi,2014-01-01,Triton,USED,Automatic,2.5,4WD,Diesel,9.3,215100.0,4,Ute / Tray,4,5,18995.0,White ,Eastern Creek, NSW
137,Volkswagen,2014-01-01,Golf,USED,Automatic,1.4,Front,Premium,5.4,155036.0,4,Hatchback,5,5,14990.0,Black ,Castle Hill, NSW
138,BMW,2012-01-01,M135I,USED,Automatic,3.0,Rear,Premium,7.5,67678.0,6,Hatchback,5,5,29950.0,Grey ,Rydalmere, NSW
139,Holden,2015-01-01,Commodore,USED,Automatic,3.6,Rear,Unleaded,9.8,133934.0,6,Wagon,4,5,22999.0,White ,Homebush, NSW
140,Volkswagen,2008-01-01,Golf,USED,Automatic,2.0,Front,Premium,8.0,174915.0,4,Hatchback,5,5,14990.0,Silver ,Cabramatta, NSW
141,Holden,2014-01-01,Cruze,USED,Automatic,1.8,Front,Unleaded,7.4,117000.0,4,Sedan,4,5,7888.0,Silver ,Windsor, NSW
142,Hyundai,2018-01-01,Imax,USED,Automatic,2.5,Rear,Diesel,8.8,190176.0,4,Wagon,4,8,27990.0,Grey ,Cabramatta, NSW
143,Mitsubishi,2013-01-01,Triton,USED,Manual,2.5,4WD,Diesel,9.1,231675.0,4,Ute / Tray,4,5,19800.0,White ,Smithfield, NSW
144,BMW,2021-01-01,330I,USED,Automatic,2.0,Rear,Premium,6.4,23332.0,4,Sedan,4,5,67988.0,Black ,Sylvania, NSW
145,Volkswagen,2018-01-01,Golf,USED,Automatic,1.4,Front,Premium,5.6,130647.0,4,Wagon,4,5,21880.0,White ,Blacktown, NSW
146,Audi,2019-01-01,Q3,USED,Automatic,1.4,Front,Premium,7.2,47307.0,4,SUV,4,5,41888.0,White ,Carlton, NSW
149,Subaru,2016-01-01,Outback,USED,Automatic,2.5,AWD,Premium,7.3,74983.0,4,SUV,4,5,29990.0,Silver ,North Narrabeen, NSW
150,Mazda,2007-01-01,6,USED,Manual,2.3,Front,Premium,8.8,102496.0,4,Hatchback,5,5,7920.0,Black ,Leichhardt, NSW
151,Hyundai,2015-01-01,Accent,USED,Automatic,1.6,Front,Unleaded,6.4,84924.0,4,Hatchback,5,5,14999.0,Silver ,Homebush, NSW
152,Land,2013-01-01,Rover,USED,Automatic,3.0,4WD,Diesel,8.8,159558.0,6,SUV,4,5,38950.0,White ,Glebe, NSW
154,Ford,2013-01-01,Focus,USED,Automatic,1.6,Front,Unleaded,6.6,67590.0,4,Hatchback,5,5,12990.0,Silver ,Leichhardt, NSW
155,Kia,2017-01-01,Sportage,USED,Automatic,2.4,AWD,Unleaded,8.5,65502.0,4,SUV,4,5,29990.0,White ,Ryde, NSW
156,Porsche,2010-01-01,Cayenne,USED,Automatic,4.8,AWD,Premium,0.5,193271.0,8,SUV,4,5,29990.0,White ,Haberfield, NSW
157,Porsche,2016-01-01,Cayman,USED,Manual,3.8,Rear,Premium,0.3,23481.0,6,Coupe,2,2,214880.0,White ,Blacktown, NSW
158,Ford,2007-01-01,Territory,USED,Automatic,4.0,AWD,Unleaded,2.2,173839.0,6,SUV,4,5,8950.0,White ,Penrith, NSW
160,Nissan,2016-01-01,Navara,USED,Automatic,2.3,4WD,Diesel,7.0,258936.0,4,Ute / Tray,4,5,21290.0,White ,Blacktown, NSW
163,Toyota,2013-01-01,RAV4,USED,Automatic,2.2,AWD,Diesel,6.5,292134.0,4,SUV,4,5,14995.0,Grey ,Bankstown, NSW
164,Toyota,2008-01-01,Hilux,USED,Automatic,3.0,4WD,Diesel,9.5,251000.0,4,Ute / Tray,4,5,21290.0,White ,Blacktown, NSW
165,Mazda,2014-01-01,3,USED,Automatic,2.0,Front,Unleaded,5.8,130242.0,4,Hatchback,5,5,16388.0,Brown ,Liverpool, NSW
166,Hyundai,2021-01-01,Venue,USED,Automatic,1.6,Front,Unleaded,7.2,35024.0,4,SUV,4,5,26990.0,White ,Castle Hill, NSW
167,BMW,2015-01-01,X1,USED,Automatic,2.0,AWD,Diesel,5.1,44145.0,4,SUV,4,5,32000.0,White ,Campbelltown, NSW
168,BMW,2021-01-01,330I,USED,Automatic,2.0,Rear,Premium,6.4,29567.0,4,Sedan,4,5,67988.0,Black ,Sylvania, NSW
169,Mazda,2007-01-01,6,USED,Automatic,2.3,Front,Premium,8.9,223898.0,4,Hatchback,5,5,7600.0,Black ,Punchbowl, NSW
170,Hyundai,2013-01-01,Veloster,USED,Automatic,1.6,Front,Unleaded,6.4,155244.0,4,Hatchback,3,4,17990.0,White ,Minchinbury, NSW
171,Toyota,2017-01-01,Camry,USED,Automatic,2.5,Front,Unleaded,7.9,149988.0,4,Sedan,4,5,19950.0,Grey ,Pendle Hill, NSW
172,Mitsubishi,2011-01-01,Lancer,USED,Automatic,2.0,Front,Unleaded,7.3,205373.0,4,Hatchback,5,5,9990.0,Red ,Minchinbury, NSW
173,BMW,2020-01-01,M4,USED,Automatic,3.0,Rear,Premium,8.8,2858.0,6,Coupe,2,4,129988.0,White ,Sylvania, NSW
174,Suzuki,2011-01-01,Swift,USED,Automatic,1.4,Front,Unleaded,6.2,201011.0,4,Hatchback,5,5,7999.0,Grey ,Penrith, NSW
175,Ford,2008-01-01,Transit,USED,Manual,2.4,Rear,Diesel,9.5,305593.0,4,Commercial,2,3,9995.0,White ,Minchinbury, NSW
177,Peugeot,2017-01-01,308,USED,Automatic,1.2,Front,Premium,5.1,57217.0,3,Hatchback,5,5,16990.0,Silver ,Homebush, NSW
178,Holden,2017-01-01,Trax,USED,Automatic,1.4,Front,Unleaded,6.9,83147.0,4,SUV,4,5,17888.0,Blue ,Blacktown, NSW
179,Mitsubishi,2015-01-01,Triton,USED,Automatic,2.5,4WD,Diesel,9.3,204000.0,4,Ute / Tray,4,5,18995.0,White ,Eastern Creek, NSW
180,Subaru,2013-01-01,Forester,USED,Manual,2.0,AWD,Unleaded,7.2,122077.0,4,SUV,4,5,16857.0,Red ,Sylvania, NSW
181,Mazda,2015-01-01,CX-3,USED,Automatic,2.0,Front,Unleaded,6.1,60581.0,4,SUV,4,5,22990.0,Blue ,Castle Hill, NSW
182,Nissan,2010-01-01,Navara,USED,Manual,2.5,4WD,Diesel,9.8,259488.0,4,Ute / Tray,2,2,13950.0,White ,Campbelltown, NSW
183,Holden,2017-01-01,Captiva,USED,Automatic,2.4,Front,Unleaded,9.0,186954.0,4,SUV,4,7,12990.0,Grey ,Haberfield, NSW
184,Kia,2017-01-01,Cerato,USED,Automatic,2.0,Front,Unleaded,7.1,21350.0,4,Hatchback,5,5,22990.0,Red ,Blacktown, NSW
185,Audi,2016-01-01,RS3,USED,Automatic,2.5,AWD,Premium,8.1,47926.0,5,Hatchback,5,5,59990.0,White ,Castle Hill, NSW
186,Mitsubishi,2014-01-01,Triton,USED,Manual,2.5,Rear,Diesel,8.0,88861.0,4,Ute / Tray,2,2,21880.0,White ,Mcgraths Hill, NSW
188,Mercedes-Benz,2018-01-01,C200,USED,Automatic,2.0,Rear,Hybrid,6.5,72540.0,4,Sedan,4,4,39990.0,Blue ,Blacktown, NSW
189,Toyota,2020-01-01,Corolla,USED,Automatic,1.8,Front,Hybrid,4.2,87043.0,4,Hatchback,5,5,39990.0,Blue ,Wollongong, NSW
190,Ford,2012-01-01,Ranger,USED,Manual,3.2,4WD,Diesel,9.4,254121.0,5,Ute / Tray,4,5,21990.0,White ,Cabramatta, NSW
191,Honda,2008-01-01,Civic,USED,Manual,2.0,Front,Premium,9.3,165450.0,4,Hatchback,3,4,18990.0,Silver ,Minchinbury, NSW
192,Honda,2022-01-01,CR-V,USED,Automatic,1.5,Front,Unleaded,7.3,15087.0,4,SUV,4,5,39990.0,White ,Banksia, NSW
193,Nissan,2013-01-01,Navara,USED,Automatic,2.5,4WD,Diesel,0.5,159056.0,4,Ute / Tray,4,5,21990.0,White ,Campbelltown, NSW
194,Hyundai,2017-01-01,Tucson,USED,Automatic,2.0,AWD,Diesel,6.8,97295.0,4,SUV,4,5,31990.0,White ,Wollongong, NSW
195,Mazda,2015-01-01,CX-5,USED,Automatic,2.5,AWD,Unleaded,7.4,83095.0,4,SUV,4,5,26990.0,Red ,Campbelltown, NSW
197,Isuzu,2017-01-01,D-MAX,USED,Automatic,3.0,4WD,Diesel,7.7,192988.0,4,Ute / Tray,4,5,28999.0,White ,Five Dock, NSW
198,Mercedes-Benz,2014-01-01,A200,USED,Automatic,1.8,Front,Diesel,4.6,105663.0,4,Hatchback,5,5,22500.0,Blue ,Campbelltown, NSW
199,Toyota,2007-01-01,HiAce,USED,Manual,2.7,Rear,Unleaded,0.6,222603.0,4,Commercial,4,3,17990.0,White ,Croydon, NSW
200,Ford,2020-01-01,Puma,USED,Automatic,1.0,Front,Premium,5.3,22300.0,3,SUV,5,5,27800.0,Blue ,Smithfield, NSW
201,Mazda,2022-01-01,2,USED,Automatic,1.5,Front,Unleaded,5.2,11824.0,4,Hatchback,5,5,29990.0,Grey ,Wollongong, NSW
202,Toyota,2007-01-01,Corolla,USED,Automatic,1.8,Front,Unleaded,7.7,250318.0,4,Hatchback,5,5,10990.0,Silver ,Minchinbury, NSW
203,Jeep,2016-01-01,Grand,USED,Automatic,3.6,4WD,Premium,0.4,39967.0,6,SUV,4,5,34800.0,White ,Castle Hill, NSW
