,Brand,Year,Model,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption/100km,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,Extcolour,City,State
14282,Toyota,2023-01-01,Corolla,USED,Automatic,1.8,Front,Hybrid,4.0,6000.0,4,Hatchback,5,5,36773.0,White ,Maddington, WA
14283,Ford,2012-01-01,Fiesta,USED,Manual,1.6,Front,Unleaded,6.1,149586.0,4,Hatchback,5,5,4985.0,Blue ,Victoria Park, WA
14284,Toyota,2012-01-01,FJ,USED,Automatic,4.0,4WD,Premium,0.4,150889.0,6,SUV,4,5,37994.0,Silver ,Bentley, WA
14285,Volkswagen,2022-01-01,Tiguan,DEMO,Automatic,2.0,AWD,Premium,7.7,1566.0,4,SUV,4,5,49890.0,Red ,Myaree, WA
14286,Hyundai,2020-01-01,Kona,USED,Automatic,2.0,Front,Unleaded,7.2,54432.0,4,SUV,4,5,26999.0,Silver ,Welshpool, WA
14288,Volkswagen,2021-01-01,Polo,USED,Automatic,2.0,Front,Premium,6.1,67064.0,4,Hatchback,5,5,35990.0,Grey ,Midland, WA
14289,MG,2022-01-01,HS,USED,Automatic,1.5,Front,Unleaded,7.3,14516.0,4,SUV,4,5,27999.0,White ,Victoria Park, WA
14290,Suzuki,2018-01-01,Baleno,USED,Automatic,1.4,Front,Unleaded,5.4,64017.0,4,Hatchback,4,5,16999.0,Grey ,Gosnells, WA
14291,LDV,2020-01-01,T60,USED,Automatic,2.8,4WD,Diesel,9.6,55037.0,4,Ute / Tray,4,5,36999.0,Red ,Welshpool, WA
14293,Hyundai,2018-01-01,I30,USED,Automatic,2.0,Front,Unleaded,7.4,99545.0,4,Hatchback,4,5,20968.0,Silver ,Bentley, WA
14294,Subaru,2020-01-01,Forester,USED,Automatic,2.5,AWD,Unleaded,7.4,47000.0,4,SUV,4,5,35488.0,White ,Maddington, WA
14296,Kia,2019-01-01,Carnival,USED,Automatic,3.3,Front,Unleaded,0.8,58384.0,6,Wagon,4,8,33990.0,Grey ,Maddington, WA
14298,Mitsubishi,2020-01-01,ASX,USED,Automatic,2.0,Front,Unleaded,7.6,51851.0,4,SUV,4,5,25780.0,White ,Bentley, WA
14299,Holden,2013-01-01,Captiva,USED,Automatic,2.2,AWD,Diesel,8.2,101470.0,4,SUV,4,5,13488.0,Grey ,Rockingham, WA
14300,Mazda,2013-01-01,CX-5,USED,Automatic,2.2,AWD,Diesel,5.7,159724.0,4,SUV,4,5,19350.0,Blue ,Myaree, WA
14301,Toyota,2019-01-01,Hilux,USED,Automatic,2.8,4WD,Diesel,8.5,134960.0,4,Ute / Tray,4,5,47980.0,White ,Bentley, WA
14302,GWM,2023-01-01,Haval,NEW,Automatic,2.0,Front,Unleaded,7.5,1.0,4,SUV,4,5,41485.0,Black ,Morley, WA
14303,Mitsubishi,2020-01-01,Outlander,USED,Automatic,2.4,Front,Unleaded,7.2,47041.0,4,SUV,4,7,33990.0,Grey ,Rockingham, WA
14304,Mitsubishi,2021-01-01,ASX,USED,Automatic,2.0,Front,Unleaded,7.6,70788.0,4,SUV,4,5,25998.0,White ,Morley, WA
14305,Holden,2006-01-01,Adventra,USED,Automatic,3.6,AWD,Unleaded,7.3,310704.0,6,SUV,4,5,6990.0,Grey ,Welshpool, WA
14306,MG,2021-01-01,HS,USED,Automatic,1.5,Front,Unleaded,7.3,38763.0,4,SUV,4,5,28588.0,Black ,Bentley, WA
14308,Suzuki,2016-01-01,Swift,USED,Automatic,1.6,Front,Unleaded,6.1,54344.0,4,Hatchback,5,5,19998.0,Yellow ,Cannington, WA
14309,Audi,2018-01-01,A3,USED,Automatic,2.0,AWD,Premium,6.1,61811.0,4,Sedan,4,5,35996.0,Black ,Bentley, WA
14310,Toyota,2023-01-01,Landcruiser,USED,Manual,4.5,AWD,Diesel,0.7,4000.0,8,Ute / Tray,2,2,126988.0,White ,Bentley, WA
14311,Toyota,2020-01-01,Hilux,USED,Automatic,2.8,4WD,Diesel,8.5,51476.0,4,Ute / Tray,4,5,69990.0,Gold ,Rockingham, WA
14313,Ford,2019-01-01,Everest,USED,Automatic,2.0,4WD,Diesel,7.1,61131.0,4,SUV,4,7,56997.0,Gold ,Cannington, WA
